periodo,robo_casa_habitacion,despojo
2016-01,460,272
2016-02,461,313
2016-03,531,293
2016-04,498,356
2016-05,500,324
2016-06,512,307
2016-07,556,262
2016-08,515,283
2016-09,574,267
2016-10,597,268
2016-11,583,239
2016-12,530,194
2017-01,565,256
2017-02,498,243
2017-03,527,316
2017-04,500,228
2017-05,499,310
2017-06,505,316
2017-07,550,292
2017-08,597,348
2017-09,536,270
2017-10,654,320
2017-11,663,287
2017-12,564,253
2018-01,615,263
2018-02,547,259
2018-03,660,291
2018-04,605,276
2018-05,590,312
2018-06,594,302
2018-07,645,309
2018-08,702,355
2018-09,616,308
2018-10,682,352
2018-11,675,307
2018-12,636,287
2019-01,661,317
2019-02,608,329
2019-03,568,323
2019-04,590,327
2019-05,541,368
2019-06,561,318
2019-07,551,383
2019-08,603,356
2019-09,559,339
2019-10,561,367
2019-11,509,299
2019-12,535,286
2020-01,539,336
2020-02,475,323
2020-03,447,379
2020-04,213,211
2020-05,200,172
2020-06,268,245
2020-07,318,354
2020-08,372,378
2020-09,340,386
2020-10,332,446
2020-11,356,394
2020-12,318,333
2021-01,336,347
2021-02,284,346
2021-03,361,424
2021-04,334,382
2021-05,303,383
2021-06,286,372
2021-07,329,398
2021-08,287,381
2021-09,284,379
2021-10,295,349
2021-11,275,351
2021-12,312,327
2022-01,287,269
2022-02,242,340
2022-03,236,408
2022-04,274,324
2022-05,244,392
2022-06,262,359
2022-07,317,316
2022-08,283,358
2022-09,275,289
2022-10,287,326
2022-11,310,373
2022-12,278,294
2023-01,291,301
2023-02,287,322
2023-03,268,360
2023-04,298,330
2023-05,258,301
2023-06,294,359
2023-07,300,363
2023-08,318,318
2023-09,281,336
2023-10,285,351
2023-11,288,272
2023-12,268,274
2024-01,295,263
2024-02,239,337
2024-03,300,346
2024-04,303,309
2024-05,276,356
2024-06,282,317
2024-07,295,299
2024-08,257,288
2024-09,264,305
2024-10,283,288
2024-11,228,285
2024-12,217,256
2025-01,239,279
