periodo,robo_casa_habitacion,despojo
2015-01,358,185
2015-02,372,191
2015-03,463,245
2015-04,428,249
2015-05,416,219
2015-06,492,305
2015-07,506,341
2015-08,482,289
2015-09,501,332
2015-10,540,298
2015-11,497,315
2015-12,506,279
2016-01,458,268
2016-02,457,312
2016-03,528,293
2016-04,495,353
2016-05,495,326
2016-06,507,305
2016-07,553,261
2016-08,511,281
2016-09,574,267
2016-10,595,267
2016-11,583,239
2016-12,529,194
2017-01,562,256
2017-02,496,243
2017-03,525,315
2017-04,495,226
2017-05,496,310
2017-06,503,315
2017-07,550,292
2017-08,594,346
2017-09,534,269
2017-10,651,318
2017-11,662,286
2017-12,561,251
2018-01,613,263
2018-02,546,258
2018-03,660,291
2018-04,604,276
2018-05,589,312
2018-06,594,302
2018-07,644,309
2018-08,701,353
2018-09,616,308
2018-10,681,352
2018-11,675,307
2018-12,634,287
2019-01,660,316
2019-02,607,329
2019-03,567,323
2019-04,589,326
2019-05,540,366
2019-06,561,317
2019-07,551,379
2019-08,601,353
2019-09,557,338
2019-10,561,364
2019-11,509,297
2019-12,534,286
2020-01,539,336
2020-02,472,322
2020-03,446,378
2020-04,213,210
2020-05,199,172
2020-06,268,245
2020-07,318,352
2020-08,372,376
2020-09,340,384
2020-10,332,445
2020-11,355,392
2020-12,318,333
2021-01,335,347
2021-02,284,346
2021-03,361,424
2021-04,334,382
2021-05,303,383
2021-06,286,371
2021-07,329,397
2021-08,287,381
2021-09,282,379
2021-10,294,349
2021-11,275,351
2021-12,311,327
2022-01,287,267
2022-02,241,338
2022-03,236,408
2022-04,274,323
2022-05,244,392
2022-06,262,358
2022-07,317,316
2022-08,282,358
2022-09,275,287
2022-10,287,325
2022-11,310,373
2022-12,278,294
2023-01,291,301
2023-02,287,322
2023-03,266,360
2023-04,298,330
2023-05,258,301
2023-06,294,357
2023-07,300,363
2023-08,317,317
2023-09,281,332
2023-10,285,350
2023-11,288,272
2023-12,268,274
2024-01,295,263
2024-02,239,337
2024-03,300,346
2024-04,303,307
2024-05,276,356
2024-06,282,317
2024-07,295,296
2024-08,257,287
2024-09,264,305
2024-10,281,288
2024-11,228,285
2024-12,216,256
2025-01,239,279
2025-02,219,287
2025-03,217,321
2025-04,215,329
2025-05,221,344
2025-06,216,341
2025-07,190,376
2025-08,250,344
2025-09,232,275
2025-10,202,314
2025-11,207,311
2025-12,185,276
